(2, 2, 5, 5, 6),23,[44555, 10000, 4.4555]
(2, 2, 5, 5, 6),24,[34570, 10000, 3.457]
(2, 2, 5, 5, 6),25,[30805, 10000, 3.0805]
(2, 2, 5, 5, 6),26,[30530, 10000, 3.053]
(2, 2, 5, 5, 6),27,[44880, 10000, 4.488]
(2, 2, 5, 5, 6),28,[69330, 10000, 6.933]
(2, 2, 5, 5, 6),29,[45800, 10000, 4.58]
(2, 2, 5, 5, 6),30,[44625, 10000, 4.4625]
(2, 2, 5, 5, 6),31,[44270, 10000, 4.427]
(3, 5, 6, 6, 6),0,[0, 10000, 0.0]
(3, 5, 6, 6, 6),1,[83070, 10000, 8.307]
(3, 5, 6, 6, 6),2,[83080, 10000, 8.308]
(3, 5, 6, 6, 6),3,[130090, 10000, 13.009]
(3, 5, 6, 6, 6),4,[-33605, 10000, -3.3605]
(3, 5, 6, 6, 6),5,[-13345, 10000, -1.3345]
(3, 5, 6, 6, 6),6,[-12485, 10000, -1.2485]
(3, 5, 6, 6, 6),7,[13475, 10000, 1.3475]
(3, 5, 6, 6, 6),8,[-32385, 10000, -3.2385]
(3, 5, 6, 6, 6),9,[-13220, 10000, -1.322]
(3, 5, 6, 6, 6),10,[-13190, 10000, -1.319]
(3, 5, 6, 6, 6),11,[14935, 10000, 1.4935]
(3, 5, 6, 6, 6),12,[-4405, 10000, -0.4405]
(3, 5, 6, 6, 6),13,[-27980, 10000, -2.798]
(3, 5, 6, 6, 6),14,[-24310, 10000, -2.431]
(3, 5, 6, 6, 6),15,[-19880, 10000, -1.988]
(3, 5, 6, 6, 6),16,[-34300, 10000, -3.43]
(3, 5, 6, 6, 6),17,[-14900, 10000, -1.49]
(3, 5, 6, 6, 6),18,[-12205, 10000, -1.2205]
(3, 5, 6, 6, 6),19,[15060, 10000, 1.506]
(3, 5, 6, 6, 6),20,[-3820, 10000, -0.382]
(3, 5, 6, 6, 6),21,[-29220, 10000, -2.922]
(3, 5, 6, 6, 6),22,[-20990, 10000, -2.099]
(3, 5, 6, 6, 6),23,[-19840, 10000, -1.984]
(3, 5, 6, 6, 6),24,[-5730, 10000, -0.573]
(3, 5, 6, 6, 6),25,[-28410, 10000, -2.841]
(3, 5, 6, 6, 6),26,[-22070, 10000, -2.207]
(3, 5, 6, 6, 6),27,[-17665, 10000, -1.7665]
(3, 5, 6, 6, 6),28,[18275, 10000, 1.8275]
(3, 5, 6, 6, 6),29,[-5870, 10000, -0.587]
(3, 5, 6, 6, 6),30,[7310, 10000, 0.731]
(3, 5, 6, 6, 6),31,[-6185, 10000, -0.6185]
(1, 1, 2, 2, 3),0,[0, 10000, 0.0]
(1, 1, 2, 2, 3),1,[18040, 10000, 1.804]
(1, 1, 2, 2, 3),2,[17055, 10000, 1.7055]
(1, 1, 2, 2, 3),3,[46825, 10000, 4.6825]
(1, 1, 2, 2, 3),4,[17185, 10000, 1.7185]
(1, 1, 2, 2, 3),5,[46105, 10000, 4.6105]
(1, 1, 2, 2, 3),6,[41605, 10000, 4.1605]
(1, 1, 2, 2, 3),7,[53455, 10000, 5.3455]
